session_key,player_key,game_key,timestamp,date,hour,day_of_week,week,month,is_weekend,platform,region,player_type,duration_mins
1,227,6.0,2025-12-24 11:36:18.196005,2025-12-24,11,Wednesday,52,12,False,Xbox Series X,Europe,regular,52.0
2,145,6.0,2025-12-24 14:33:18.196005,2025-12-24,14,Wednesday,52,12,False,PC,North America,hardcore,251.0
3,82,,2025-12-24 16:03:18.196005,2025-12-24,16,Wednesday,52,12,False,Xbox Series X,South America,casual,21.0
4,77,,2025-12-24 16:29:18.196005,2025-12-24,16,Wednesday,52,12,False,PC,Europe,casual,21.0
5,300,9.0,2025-12-24 16:43:18.196005,2025-12-24,16,Wednesday,52,12,False,PC,North America,regular,67.0
6,145,6.0,2025-12-24 16:47:18.196005,2025-12-24,16,Wednesday,52,12,False,PC,North America,hardcore,179.0
7,381,,2025-12-24 17:06:18.196005,2025-12-24,17,Wednesday,52,12,False,PC,Oceania,casual,35.0
8,19,7.0,2025-12-24 17:23:18.196005,2025-12-24,17,Wednesday,52,12,False,PlayStation 5,Europe,regular,50.0
9,102,,2025-12-24 18:53:18.196005,2025-12-24,18,Wednesday,52,12,False,Xbox Series X,Asia,regular,92.0
10,152,,2025-12-24 19:14:18.196005,2025-12-24,19,Wednesday,52,12,False,PC,Europe,hardcore,187.0
11,345,9.0,2025-12-24 19:16:18.196005,2025-12-24,19,Wednesday,52,12,False,PC,Europe,regular,108.0
12,268,6.0,2025-12-24 20:21:18.196005,2025-12-24,20,Wednesday,52,12,False,PC,North America,hardcore,192.0
13,171,8.0,2025-12-24 20:58:18.196005,2025-12-24,20,Wednesday,52,12,False,PlayStation 5,South America,casual,50.0
14,32,7.0,2025-12-24 22:43:18.196005,2025-12-24,22,Wednesday,52,12,False,PlayStation 5,Asia,casual,43.0
15,421,4.0,2025-12-25 00:01:18.196005,2025-12-25,0,Thursday,52,12,False,Xbox Series X,North America,casual,39.0
16,345,9.0,2025-12-25 00:07:18.196005,2025-12-25,0,Thursday,52,12,False,PC,Europe,regular,92.0
17,82,,2025-12-25 11:43:18.196005,2025-12-25,11,Thursday,52,12,False,Xbox Series X,South America,casual,47.0
18,102,,2025-12-25 13:14:18.196005,2025-12-25,13,Thursday,52,12,False,Xbox Series X,Asia,regular,107.0
19,217,,2025-12-25 13:14:18.196005,2025-12-25,13,Thursday,52,12,False,Xbox Series X,Europe,casual,54.0
20,381,,2025-12-25 13:49:18.196005,2025-12-25,13,Thursday,52,12,False,PC,Oceania,casual,58.0
21,268,6.0,2025-12-25 16:06:18.196005,2025-12-25,16,Thursday,52,12,False,PC,North America,hardcore,250.0
22,164,,2025-12-26 00:21:18.196005,2025-12-26,0,Friday,52,12,False,Xbox Series X,North America,hardcore,243.0
